# wavelength(um) wavelength_err(um) depth depth_err
4.96554527e+00 4.00411647e-03 4.91500506e-03 3.38795047e-04
4.97354574e+00 3.99696543e-03 4.51319104e-03 3.38269360e-04
4.98153313e+00 3.98995805e-03 4.68767934e-03 3.42057465e-04
4.98950557e+00 3.98285427e-03 4.70493258e-03 3.51188762e-04
4.99746454e+00 3.97596936e-03 4.65098046e-03 3.65473665e-04
5.00540945e+00 3.96893408e-03 4.84627764e-03 3.67913616e-04
5.01334028e+00 3.96209557e-03 4.42014804e-03 3.60785438e-04
5.02125783e+00 3.95508514e-03 4.47148281e-03 3.60971691e-04
5.02916062e+00 3.94818493e-03 4.17205780e-03 3.61998967e-04
5.03705057e+00 3.94143001e-03 4.30106313e-03 3.64380059e-04
5.04492634e+00 3.93452384e-03 4.74739319e-03 3.65308588e-04
5.05278867e+00 3.92786298e-03 4.62573005e-03 3.61638817e-04
5.06063779e+00 3.92106143e-03 5.41044787e-03 3.58845652e-04
5.06847291e+00 3.91450195e-03 4.36476710e-03 3.57352568e-04
5.07629580e+00 3.90769089e-03 4.63356644e-03 3.60725794e-04
5.08410367e+00 3.90097780e-03 4.39601604e-03 3.68579193e-04
5.09189971e+00 3.89445768e-03 4.98338076e-03 3.74565435e-04
5.09968151e+00 3.88773622e-03 4.93009260e-03 3.79599816e-04
5.10745066e+00 3.88138788e-03 5.07461120e-03 3.76105767e-04
5.11520706e+00 3.87469654e-03 4.43608820e-03 3.74182672e-04
5.12294944e+00 3.86829927e-03 3.99094596e-03 3.87401839e-04
5.13068025e+00 3.86181126e-03 4.35606687e-03 4.03226651e-04
5.13839669e+00 3.85522868e-03 4.48408514e-03 4.21407769e-04
5.14610117e+00 3.84895359e-03 4.22544047e-03 4.36255673e-04
5.15379250e+00 3.84243862e-03 4.96459521e-03 4.27774688e-04
5.16147092e+00 3.83621948e-03 5.20154419e-03 4.20270135e-04
